id,ans
257,B
258,B
259,C
260,A
261,C
262,B
263,A
264,B
265,A
266,A
267,B
268,A
269,A
270,B
271,B
272,C
273,A
274,A
275,B
276,C
277,B
278,B
279,B
280,B
281,A
282,A
283,C
284,A
285,B
286,C
287,B
288,A
289,A
290,B
291,C
292,B
293,C
294,A
295,B
296,B
297,A
298,A
299,A
300,A
301,B
302,A
303,B
304,B
305,C
306,A
307,C
308,A
309,A
310,B
311,B
312,B
313,C
314,C
315,A
316,A
317,C
318,B
319,A
320,A
321,B
322,B
323,B
324,B
325,A
326,C
327,B
328,B
329,B
330,A
331,B
332,B
333,B
334,B
335,B
336,B
337,B
338,B
339,B
340,B
341,C
342,B
343,B
344,B
345,C
346,C
347,A
348,B
349,A
350,A
351,A
352,A
353,B
354,B
355,B
356,C
357,B
358,C
359,B
360,A
361,C
362,B
363,B
364,A
365,B
366,A
367,B
368,B
369,B
370,C
371,C
372,A
373,B
374,A
375,A
376,B
377,B
378,B
379,B
380,B
381,B
382,B
383,A
384,B
385,A
386,A
387,B
388,B
389,B
390,A
391,A
392,A
393,A
394,C
395,B
396,B
397,A
398,B
399,C
400,B
401,A
402,A
403,A
404,B
405,A
406,B
407,B
408,A
409,A
410,A
411,B
412,B
413,A
414,A
415,C
416,B
417,A
418,A
419,B
420,B
421,B
422,B
423,C
424,B
425,A
426,B
427,B
428,A
429,B
430,B
431,C
432,A
433,C
434,C
435,B
436,B
437,B
438,A
439,B
440,A
441,A
442,B
443,A
444,B
445,C
446,B
447,B
448,B
449,B
450,A
451,B
452,C
453,B
454,B
455,C
456,B
457,C
458,A
459,B
460,B
461,B
462,B
463,B
464,B
465,C
466,A
467,B
468,B
469,C
470,A
471,B
472,B
473,A
474,B
475,B
476,C
477,A
478,B
479,B
480,B
481,B
482,A
483,C
484,B
485,B
486,A
487,B
488,B
489,B
490,B
491,C
492,A
493,C
494,B
495,C
496,C
497,B
498,C
499,A
500,B
501,B
502,A
503,C
504,C
505,A
506,A
507,B
508,C
509,C
510,A
511,B
512,B
513,B
514,B
515,A
516,C
517,A
518,A
519,B
520,C
521,B
522,B
523,C
524,A
525,B
526,C
527,B
528,B
529,A
530,B
531,B
532,B
533,B
534,B
535,B
536,A
537,A
538,A
539,B
540,A
541,A
542,B
543,B
544,C
545,B
546,B
547,C
548,A
549,A
550,B
551,A
552,A
553,C
554,B
555,B
556,C
557,B
558,B
559,C
560,B
561,C
562,B
563,A
564,B
565,A
566,C
567,B
568,B
569,A
570,A
571,B
572,A
573,B
574,B
575,A
576,B
577,A
578,B
579,B
580,A
581,C
582,A
583,B
584,B
585,B
586,A
587,B
588,B
589,B
590,A
591,B
592,A
593,C
594,B
595,B
596,C
597,B
598,B
599,C
600,B
601,A
602,C
603,C
604,C
605,A
606,C
607,A
608,A
609,A
610,B
611,C
612,A
613,B
614,B
615,B
616,B
617,B
618,B
619,C
620,A
621,A
622,A
623,B
624,B
625,B
626,B
627,A
628,B
629,A
630,A
631,A
632,A
633,B
634,B
635,B
636,A
637,B
638,A
639,B
640,B
641,B
642,B
643,B
644,B
645,B
646,B
647,B
648,A
649,B
650,A
651,B
652,C
653,C
654,B
655,C
656,B
657,A
658,B
659,C
660,B
661,B
662,B
663,B
664,B
665,B
666,A
667,C
668,B
669,B
670,B
671,B
672,A
673,B
674,A
675,B
676,B
677,B
678,B
679,B
680,B
681,B
682,A
683,B
684,B
685,B
686,C
687,B
688,B
689,B
690,B
691,B
692,C
693,A
694,A
695,B
696,B
697,C
698,B
699,B
700,A
701,A
702,B
703,C
704,B
705,A
706,B
707,B
708,C
709,C
710,C
711,B
712,B
713,C
714,B
715,C
716,B
717,B
718,B
719,B
720,B
721,B
722,A
723,B
724,A
725,A
726,B
727,B
728,A
729,C
730,B
731,C
732,B
733,B
734,B
735,A
736,B
737,A
738,B
739,B
740,A
741,A
742,A
743,A
744,B
745,B
746,B
747,B
748,A
749,B
750,B
751,B
752,C
753,B
754,B
755,A
756,A
757,A
758,B
759,B
760,A
761,A
762,A
763,A
764,C
765,B
766,B
767,A
768,C
769,A
770,C
771,B
772,C
773,C
774,B
775,A
776,B
777,B
778,C
779,B
780,B
781,B
782,A
783,C
784,A
785,A
786,A
787,B
788,C
789,B
790,C
791,A
792,B
793,C
794,B
795,B
796,A
797,B
798,A
799,B
800,C
801,B
802,C
803,B
804,A
805,C
806,B
807,A
808,A
809,A
810,B
811,B
812,C
813,A
814,A
815,A
816,A
817,C
818,A
819,A
820,B
821,A
822,B
823,B
824,A
825,C
826,B
827,A
828,A
829,B
830,A
831,A
832,B
833,A
834,B
835,C
836,B
837,B
838,A
839,A
840,A
841,A
842,B
843,C
844,A
845,B
846,B
847,B
848,A
849,C
850,A
851,A
852,B
853,B
854,C
855,A
856,B
857,C
858,B
859,C
860,B
861,B
862,C
863,B
864,A
865,A
866,C
867,B
868,B
869,B
870,C
871,A
872,B
873,B
874,B
875,C
876,C
877,B
878,B
879,A
880,B
881,B
882,B
883,A
884,A
885,A
886,C
887,B
888,B
889,C
890,A
891,B
892,A
893,A
894,B
895,A
896,A
897,C
898,B
899,C
900,A
901,B
902,B
903,B
904,A
905,B
906,A
907,B
908,C
909,C
910,C
911,B
912,B
913,A
914,B
915,B
916,C
917,B
918,B
919,A
920,B
921,A
922,C
923,A
924,B
925,B
926,B
927,C
928,A
929,B
930,B
931,B
932,C
933,B
934,C
935,C
936,B
937,C
938,B
939,A
940,A
941,B
942,B
943,B
944,B
945,C
946,B
947,C
948,C
949,C
950,B
951,A
952,B
953,A
954,C
955,B
956,B
957,A
958,C
959,B
960,B
961,B
962,B
963,B
964,C
965,C
966,B
967,A
968,B
969,C
970,A
971,B
972,B
973,A
974,B
975,A
976,C
977,C
978,C
979,C
980,B
981,A
982,A
983,B
984,A
985,B
986,B
987,C
988,B
989,A
990,A
991,A
992,B
993,A
994,B
995,A
996,B
997,B
998,B
999,B
